t,u_model,u_observed,v,V_model,V,dVdt_model,dVdt,noise
0.38,-0.6045193505650892,-0.6045193505650892,-3.7850388061979023,14.376827800394889,14.376827800394889,-10.163732888244681,-10.163732888244672,0.0
0.381,-0.6082778743767513,-0.6082778743767513,-3.75852381166204,14.366796812948136,14.366796812948136,-10.030987446752349,-10.03098744675234,0.0
0.382,-0.612009753373801,-0.612009753373801,-3.7318789970497406,14.356898297023019,14.356898297023019,-9.89851592511748,-9.89851592511747,0.0
0.383,-0.6157148588789312,-0.6157148588789312,-3.705105505130175,14.347131959341626,14.347131959341626,-9.766337681393011,-9.766337681393003,0.0
0.384,-0.6193930633618837,-0.6193930633618837,-3.6782044829525535,14.337497487340546,14.337497487340546,-9.634472001080141,-9.634472001080132,0.0
0.385,-0.6230442404436816,-0.6230442404436816,-3.651177081797844,14.327994549246387,14.327994549246387,-9.502938094158253,-9.502938094158244,0.0
0.386,-0.626668264900812,-0.626668264900812,-3.62402445713036,14.318622794154226,14.318622794154226,-9.371755092161038,-9.37175509216103,0.0
0.387,-0.6302650126693612,-0.6302650126693612,-3.5967477685492164,14.309381852108938,14.309381852108938,-9.240942045288136,-9.240942045288127,0.0
0.388,-0.6338343608491008,-0.6338343608491008,-3.5693481797396553,14.30027133418945,14.30027133418945,-9.110517919488359,-9.11051791948835,0.0
0.389,-0.637376187707525,-0.637376187707525,-3.541826858424246,14.29129083259587,14.29129083259587,-8.980501593580215,-8.980501593580207,0.0
0.39,-0.640890372683839,-0.640890372683839,-3.514184976313958,14.282439920739453,14.282439920739453,-8.850911856416843,-8.850911856416836,0.0
0.391,-0.6443767963928981,-0.6443767963928981,-3.486423709059113,14.273718153335427,14.273718153335427,-8.721767404026082,-8.721767404026075,0.0
0.392,-0.6478353406290983,-0.6478353406290983,-3.458544236200215,14.265125066498637,14.265125066498637,-8.59308683678961,-8.593086836789603,0.0
0.393,-0.6512658883702169,-0.6512658883702169,-3.430547741118658,14.256660177841987,14.256660177841987,-8.464888656650515,-8.464888656650508,0.0
0.394,-0.6546683237812042,-0.6546683237812042,-3.4024354109873225,14.248322986577671,14.248322986577671,-8.337191264315535,-8.337191264315528,0.0
0.395,-0.6580425322179253,-0.6580425322179253,-3.374208436721052,14.240112973621159,14.240112973621159,-8.210012956512358,-8.210012956512351,0.0
0.396,-0.6613884002308523,-0.6613884002308523,-3.3458680129270193,14.23202960169794,14.23202960169794,-8.083371923218508,-8.0833719232185,0.0
0.397,-0.6647058155687073,-0.6647058155687073,-3.317415337854979,14.224072315452974,14.224072315452974,-7.95728624496661,-7.957286244966603,0.0
0.398,-0.6679946671820548,-0.6679946671820548,-3.2888516133474144,14.21624054156285,14.21624054156285,-7.831773890123017,-7.83177389012301,0.0
0.399,-0.6712548452268444,-0.6712548452268444,-3.260178044789574,14.20853368885064,14.20853368885064,-7.706852712210832,-7.706852712210825,0.0
0.4,-0.6744862410679038,-0.6744862410679038,-3.2313958410594075,14.20095114840337,14.20095114840337,-7.582540447270247,-7.58254044727024,0.0
0.401,-0.6776887472823812,-0.6776887472823812,-3.2025062144773937,14.193492293692186,14.193492293692186,-7.458854711183349,-7.458854711183343,0.0
0.402,-0.6808622576631375,-0.6808622576631375,-3.1735103807562717,14.186156480695072,14.186156480695072,-7.335812997114388,-7.335812997114382,0.0
0.403,-0.6840066672220881,-0.6840066672220881,-3.1444095589506715,14.178943048022202,14.178943048022202,-7.213432672870113,-7.213432672870106,0.0
0.404,-0.6871218721934947,-0.6871218721934947,-3.115204971406648,14.171851317043838,14.171851317043838,-7.091730978363131,-7.091730978363125,0.0
0.405,-0.6902077700372059,-0.6902077700372059,-3.0858978437111206,14.164880592020786,14.164880592020786,-6.970725023052182,-6.970725023052176,0.0
0.406,-0.6932642594418471,-0.6932642594418471,-3.056489404641222,14.158030160237345,14.158030160237345,-6.850431783441024,-6.850431783441018,0.0
0.40700000000000003,-0.6962912403279606,-0.6962912403279606,-3.0269808861135523,14.15129929213678,14.15129929213678,-6.730868100564891,-6.7308681005648845,0.0
0.40800000000000003,-0.699288613851094,-0.699288613851094,-2.9973735231333496,14.144687241459248,14.144687241459248,-6.612050677532011,-6.612050677532005,0.0
0.40900000000000003,-0.7022562824048375,-0.7022562824048375,-2.9676685537435703,14.138193245382169,14.138193245382169,-6.493996077079345,-6.4939960770793395,0.0
0.41000000000000003,-0.7051941496238114,-0.7051941496238114,-2.937867218973888,14.131816524663027,14.131816524663027,-6.376720719142526,-6.37672071914252,0.0
0.41100000000000003,-0.708102120386601,-0.708102120386601,-2.907970762789608,14.125556283784539,14.125556283784539,-6.260240878487977,-6.260240878487972,0.0
0.41200000000000003,-0.7109801008186415,-0.7109801008186415,-2.877980432040502,14.119411711102217,14.119411711102217,-6.144572682321936,-6.144572682321931,0.0
0.41300000000000003,-0.7138279982950511,-0.7138279982950511,-2.847897476409567,14.113381978994264,14.113381978994264,-6.029732107952768,-6.029732107952762,0.0
0.41400000000000003,-0.7166457214434128,-0.7166457214434128,-2.8177231483617056,14.107466244013763,14.107466244013763,-5.915734980501242,-5.915734980501236,0.0
0.41500000000000004,-0.7194331801465051,-0.7194331801465051,-2.7874587030923332,14.101663647043182,14.101663647043182,-5.802596970580609,-5.802596970580604,0.0
0.41600000000000004,-0.7221902855449811,-0.7221902855449811,-2.7571053984759137,14.095973313451113,14.095973313451113,-5.690333592069052,-5.690333592069047,0.0
0.417,-0.7249169500399956,-0.7249169500399956,-2.726664495014426,14.090394353251254,14.090394353251254,-5.57896019985904,-5.5789601998593445,0.0
0.418,-0.7276130872957813,-0.7276130872957813,-2.69613725578576,14.08492586126358,14.08492586126358,-5.468491987674184,-5.46849198767418,0.0
0.419,-0.7302786122421734,-0.7302786122421734,-2.6655249463920514,14.079566917277711,14.079566917277711,-5.358943985868336,-5.358943985868332,0.0
0.42,-0.7329134410770813,-0.7329134410770813,-2.6348288349079496,14.074316586218401,14.074316586218401,-5.250331059309943,-5.250331059309938,0.0
0.421,-0.7355174912689102,-0.7355174912689102,-2.6040501918288266,14.069173918313158,14.069173918313158,-5.142667905243314,-5.14266790524331,0.0
0.422,-0.7380906815589291,-0.7380906815589291,-2.573190290018923,14.064137949261923,14.064137949261923,-5.035969051235156,-5.035969051235152,0.0
0.423,-0.7406329319635886,-0.7406329319635886,-2.5422504046594416,14.059207700408859,14.059207700408859,-4.930248853064256,-4.930248853064252,0.0
0.424,-0.7431441637767852,-0.7431441637767852,-2.5112318131965816,14.054382178916098,14.054382178916098,-4.825521492760387,-4.825521492760383,0.0
0.425,-0.7456242995720747,-0.7456242995720747,-2.480135795289523,14.049660377939553,14.049660377939553,-4.721800976545509,-4.721800976545505,0.0
0.426,-0.748073263204833,-0.748073263204833,-2.4489636327583573,14.04504127680664,14.04504127680664,-4.619101132913528,-4.619101132913523,0.0
0.427,-0.750490979814365,-0.750490979814365,-2.4177166095319715,14.04052384119595,14.04052384119595,-4.517435610688736,-4.5174356106887315,0.0
0.428,-0.7528773758259608,-0.7528773758259608,-2.386396011595884,14.036107023318865,14.036107023318865,-4.416817877086032,-4.416817877086029,0.0
0.429,-0.7552323789529009,-0.7552323789529009,-2.355003126940037,14.03178976210297,14.03178976210297,-4.3172612158937085,-4.317261215893705,0.0
