t,u_model,u_observed,v,V_model,V,dVdt_model,dVdt,noise
0.96,0.6809320862731175,0.6933613409763737,1.1545880798282593,9.818986274263898,10.156160445157756,-1.3118478570035563,892.5396102191604,0.012429254703256218
0.961,0.6820589840200278,0.6853419257288874,1.126897746910283,9.817717191893584,9.906328424371756,-1.2690823703138676,-249.83202078599987,0.003282941708859518
0.962,0.6831581663291133,0.6832888377879899,1.0991823090854993,9.81648990184598,9.820014448581158,-1.2272900476038018,-86.31397579059723,0.00013067145887655094
0.963,0.6842296092072023,0.6814443175775398,1.0714428780889715,9.815303426501396,9.740219420958205,-1.186475344583826,-79.79502762295347,-0.0027852916296625704
0.964,0.685273289773027,0.687907338864127,1.043680565824761,9.81415678394446,9.885553999349005,-1.1466425569359728,145.3345783908001,0.0026340490911000154
0.965,0.6862891862573489,0.68203319694598,1.0158964843219123,9.813048988124587,9.6980964139822,-1.107795819873303,-187.45758536680574,-0.004255989311368903
0.966,0.6872772780030394,0.6770303759115353,0.9880917456904647,9.811979049016879,9.536026351865189,-1.069939107708251,-162.07006211701,-0.0102469020915041
0.967,0.6882375454651168,0.6808398717240155,0.9602674620774913,9.810945972783397,9.611027501747243,-1.033076233481367,75.00114988205368,-0.007397673741101294
0.968,0.68916997021074,0.6832016391586911,0.9324247456231672,9.809948761934889,9.648269480333461,-0.9972108485083453,37.2419785862181,-0.005968331052048863
0.969,0.6900745349191568,0.6839510219932672,0.9045647084168689,9.808986415492763,9.64290341180507,-0.9623464421260053,-5.366068528390495,-0.0061235129258896265
0.97,0.6909512233816101,0.6793640560685303,0.8766884624533059,9.808057929151477,9.49463734238242,-0.928486341285506,-148.26606942265016,-0.011587167313079705
0.971,0.6918000205011988,0.6981633079583573,0.8487971195886878,9.807162295441163,9.981750390367468,-0.8956337103143142,487.1130479850474,0.006363287457158517
0.972,0.6926209122926957,0.6795228816724453,0.8208917914969263,9.806298503890568,9.45153791419623,-0.8637915505946836,-530.2124761712377,-0.013098030620250342
0.973,0.6934138858823216,0.7000111521393538,0.7929735896258764,9.805465541190209,9.986924060614829,-0.8329627003593743,535.3861464185985,0.0065972662570322575
0.974,0.6941789295074752,0.6840323488538635,0.7650436251536157,9.80466239135577,9.528626691990583,-0.8031498344394095,-458.29736862424534,-0.010146580653611667
0.975,0.69491603251642,0.6984406749653636,0.7371030089447662,9.803888035891674,9.900828952315363,-0.7743554640953221,372.2022603247798,0.0035246424489435964
0.976,0.6956251853679268,0.7093657258779174,0.7091528515068584,9.803141453954845,10.184213483280708,-0.7465819368288606,283.3845309653442,0.013740540509990507
0.977,0.6963063796308736,0.6983391066937773,0.68119426294674,9.802421622518589,9.85838096924742,-0.7198314362568681,-325.8325140332869,0.0020327270629036725
0.978,0.6969596079838006,0.689651500450585,0.6532283529270314,9.801727516536607,9.601700183201043,-0.6941059819816076,-256.6807860463773,-0.007308107533215692
0.979,0.6975848642144232,0.6980676322337056,0.6252562306226288,9.80105810910709,9.81435792198127,-0.6694074295161556,212.65773878022623,0.0004827680192824114
0.98,0.6981821432191004,0.6996635005527216,0.597279004677257,9.800412371636881,9.841286526897079,-0.6457374702097951,26.928604915809704,0.0014813573336212049
0.981,0.6987514410022605,0.6814133816452718,0.5692977831600741,9.799789274005681,9.327442253229433,-0.6230976312000536,-513.8442736676452,-0.017338059356988685
0.982,0.6992927546757828,0.6932159222856381,0.5413136735223283,9.799187784730238,9.63215377412121,-0.6014892754429013,304.71152089177673,-0.006076832390144627
0.983,0.6998060824583369,0.7014361775131842,0.5133277825540706,9.798606871128563,9.843694344379678,-0.5809136016754479,211.5405702584672,0.0016300950548473788
0.984,0.7002914236746778,0.6955993613422429,0.48534121634092314,9.798045499484072,9.668761447775974,-0.5613716444905492,-174.93289660370323,-0.004692062332434909
0.985,0.7007487787548987,0.7015458538773649,0.45735508022090554,9.79750263520969,9.819565823298465,-0.5428642743812162,150.80437552249023,0.0007970751224661459
0.986,0.7011781492336401,0.7085179091638357,0.42937047874132156,9.796977243011838,10.00121549351836,-0.5253921978525256,181.6496702198956,0.0073397599301956665
0.987,0.7015795377492557,0.7092451751082618,0.40138851561570654,9.796468287054301,10.009945276507285,-0.5089559575370828,8.729782988924121,0.007665637359006042
0.988,0.7019529480429366,0.7110099389171551,0.3734102936808384,9.795974731122,10.048581175554803,-0.49355593230160366,38.63589904751837,0.009056990874218527
0.989,0.7022983849577904,0.7081838246058815,0.34543691485381295,9.795495538784522,9.959356789130682,-0.4791923374778406,-89.22438642412081,0.005885439648091066
0.99,0.7026158544378796,0.6997365618374122,0.31746948008918585,9.79502967355952,9.71532703309921,-0.4658652250011386,-244.02975603147127,-0.0028792926004674074
0.991,0.7029053635272158,0.7027212848934221,0.2895090893361824,9.794576099075844,9.789468661050275,-0.45357448367688846,74.14162795106442,-0.0001840786337936238
